id,subject_id,subject_label,subject_iri,subject_category,subject_taxon_id,subject_taxon_label,object_id,object_label,object_iri,object_category,object_taxon_id,object_taxon_label,relation_id,relation_label,relation_iri
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
36aea579c7eca66888951d1578bbe9fd,1045,erlotinib,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
43d1d4dc41a95c70354e803634ff4e9b,Q13224,"Glutamate receptor ionotropic, NMDA 2B",,gene product,,,HGNC:4586,,,,,,CustomRO:TTD1,is product of,
520a2d9d7218d377040ae659c5ab8519,1140,felbamate,,drug,,,Q13224,"Glutamate receptor ionotropic, NMDA 2B",,gene product,,,CustomRO:TTD2,targets,
133d3dc2bd95af67b2f8d9ee6dfe2afc,P42866,Mu-type opioid receptor,,gene product,,,MGI:97441,,,,,,CustomRO:TTD1,is product of,
780b41e3d0358e1e87536682fbea4144,1164,fentanyl,,drug,,,P42866,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
61dd7738aa0f09fb24a8298a0ddf016b,1212,fluphenazine,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
7e18ee6e4280cb3b1e1fa7d4dcd177b7,1282,gefitinib,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
081b987bf294c6d3f8e2805e87be4afa,Q9UBE8,Serine/threonine-protein kinase NLK,,gene product,,,HGNC:29858,,,,,,CustomRO:TTD1,is product of,
89f66a6fe4e78e834736c7e3d4548df4,1282,gefitinib,,drug,,,Q9UBE8,Serine/threonine-protein kinase NLK,,gene product,,,CustomRO:TTD2,targets,
38e5106bbd1a79a3da819f64764705ba,O60341,Lysine-specific histone demethylase 1A,,gene product,,,HGNC:29079,,,,,,CustomRO:TTD1,is product of,
eb7ddfe4ea586ab18b9d2a6ee1aa2004,1362,hesperetin,,drug,,,O60341,Lysine-specific histone demethylase 1A,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
715280e8abcffdfb7b70b06ec9c3a7e9,1364,hexachlorophene,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
86da7966f889e33b1b32f878f60a0edd,P11142,Heat shock cognate 71 kDa protein,,gene product,,,HGNC:5241,,,,,,CustomRO:TTD1,is product of,
d1dfbd5c9e1fe19449f322b94dce6114,1364,hexachlorophene,,drug,,,P11142,Heat shock cognate 71 kDa protein,,gene product,,,CustomRO:TTD2,targets,
43d1d4dc41a95c70354e803634ff4e9b,Q13224,"Glutamate receptor ionotropic, NMDA 2B",,gene product,,,HGNC:4586,,,,,,CustomRO:TTD1,is product of,
02fa390e38e290b887174eb6afdfe977,1419,ifenprodil,,drug,,,Q13224,"Glutamate receptor ionotropic, NMDA 2B",,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
5e95d9a7bd78c77a2c0342781b2a0938,1423,imatinib,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
289f744a8143dd914132e500f8068cf4,1457,diiodohydroxyquinoline,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
e87d084cb827c7960c4c1f1ba02152a1,P10619,Lysosomal protective protein,,gene product,,,HGNC:9251,,,,,,CustomRO:TTD1,is product of,
e59eb3fa7090abb8013b622c14cb41d6,1494,fluostigmine,,drug,,,P10619,Lysosomal protective protein,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
73d53499611e2df77c935a1197579407,1548,lapatinib,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
c530f4a2e8d8df7d52fc968e168909c4,1567,levodopa,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
133d3dc2bd95af67b2f8d9ee6dfe2afc,P42866,Mu-type opioid receptor,,gene product,,,MGI:97441,,,,,,CustomRO:TTD1,is product of,
04338a44dd600dddeaa5c31767725c6d,1574,levorphanol,,drug,,,P42866,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
43d1d4dc41a95c70354e803634ff4e9b,Q13224,"Glutamate receptor ionotropic, NMDA 2B",,gene product,,,HGNC:4586,,,,,,CustomRO:TTD1,is product of,
7bdd3195c2850dce786d2d2805e96100,1599,loperamide,,drug,,,Q13224,"Glutamate receptor ionotropic, NMDA 2B",,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
7ccfc43bcc12cfe20b15d74e0343e30c,1762,methyldopa,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
23b6a488800234eefc191a2404cb937a,1763,methylthioninium chloride,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
133d3dc2bd95af67b2f8d9ee6dfe2afc,P42866,Mu-type opioid receptor,,gene product,,,MGI:97441,,,,,,CustomRO:TTD1,is product of,
1739f65d625559a6651090028df86891,1765,naltrexone,,drug,,,P42866,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
9afbe0baf1bdef011baa246df0940303,1800,miconazole,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
346cb7f4683afd790ca28ed1409fe0c5,1821,mitoxantrone,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
961e51841b4a81ae7572e93fa36db942,1836,montelukast,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
133d3dc2bd95af67b2f8d9ee6dfe2afc,P42866,Mu-type opioid receptor,,gene product,,,MGI:97441,,,,,,CustomRO:TTD1,is product of,
ad5f32b79c05d214b35be544f31ee4da,1845,morphine,,drug,,,P42866,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
133d3dc2bd95af67b2f8d9ee6dfe2afc,P42866,Mu-type opioid receptor,,gene product,,,MGI:97441,,,,,,CustomRO:TTD1,is product of,
37b7f7cde028fbbd021e8be22309e7d6,1878,naloxone,,drug,,,P42866,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
595bdc3a2da5633a5bc6f7622199e348,1893,nelfinavir,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
8be344bf6faeec70bed64c14060bd64b,1912,niclosamide,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
282b3abebdd73271a2f3822f2c2f071c,1989,omapatrilat,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
133d3dc2bd95af67b2f8d9ee6dfe2afc,P42866,Mu-type opioid receptor,,gene product,,,MGI:97441,,,,,,CustomRO:TTD1,is product of,
c0ba4613c248e73f17cfe620db4ca7e0,2029,oxycodone,,drug,,,P42866,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
133d3dc2bd95af67b2f8d9ee6dfe2afc,P42866,Mu-type opioid receptor,,gene product,,,MGI:97441,,,,,,CustomRO:TTD1,is product of,
cebc69477899da5e98e9869d9d96bbcf,2034,oxymorphone,,drug,,,P42866,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
52e4d36082750f3139d921a141d61ffe,2106,perhexiline,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
133d3dc2bd95af67b2f8d9ee6dfe2afc,P42866,Mu-type opioid receptor,,gene product,,,MGI:97441,,,,,,CustomRO:TTD1,is product of,
1927e65f73a43c3adc1eaf6b85282beb,2119,phenazocine,,drug,,,P42866,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
38e5106bbd1a79a3da819f64764705ba,O60341,Lysine-specific histone demethylase 1A,,gene product,,,HGNC:29079,,,,,,CustomRO:TTD1,is product of,
53c4b5a7eed8d44031c2d975bed68c2f,2123,phenelzine,,drug,,,O60341,Lysine-specific histone demethylase 1A,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
f773a23edd50fa43193e17b73979b621,2459,sorafenib,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
081b987bf294c6d3f8e2805e87be4afa,Q9UBE8,Serine/threonine-protein kinase NLK,,gene product,,,HGNC:29858,,,,,,CustomRO:TTD1,is product of,
9d31fda686849f322ffa22ff0af06092,2459,sorafenib,,drug,,,Q9UBE8,Serine/threonine-protein kinase NLK,,gene product,,,CustomRO:TTD2,targets,
43999106ab7d6caf678805a3ba430b7b,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",,gene product,,,HGNC:93,,,,,,CustomRO:TTD1,is product of,
dad905dbeacf4e38eedaeb6518c860e1,2525,sulfasalazine,,drug,,,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
a2edfef93deb2d66313b833d81ebb623,2536,suloctidil,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
eafeb0c61a79a0c0fbf883177c62e203,2544,sunitinib,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
751cf0dd4ee0306c1e941402e1ca37df,P23443,Ribosomal protein S6 kinase beta-1,,gene product,,,HGNC:10436,,,,,,CustomRO:TTD1,is product of,
e2dbc8240128d8669b67b13e81ec9dc8,2544,sunitinib,,drug,,,P23443,Ribosomal protein S6 kinase beta-1,,gene product,,,CustomRO:TTD2,targets,
b67ce6caf00b4c82e8fa6483b79cdf03,P68400,Casein kinase II subunit alpha,,gene product,,,HGNC:2457,,,,,,CustomRO:TTD1,is product of,
340a7285b9e9e37abc1f353f3409eb7b,2544,sunitinib,,drug,,,P68400,Casein kinase II subunit alpha,,gene product,,,CustomRO:TTD2,targets,
074ebe24b90cd7c6dccd8e298a26f9f7,O15111,Inhibitor of nuclear factor kappa-B kinase subunit alpha,,gene product,,,HGNC:1974,,,,,,CustomRO:TTD1,is product of,
bc2154287863d4ec447ba905c57878ae,2544,sunitinib,,drug,,,O15111,Inhibitor of nuclear factor kappa-B kinase subunit alpha,,gene product,,,CustomRO:TTD2,targets,
f212d7426db70c1ad9e4271f1de1fbf3,O75385,Serine/threonine-protein kinase ULK1,,gene product,,,HGNC:12558,,,,,,CustomRO:TTD1,is product of,
632adb540771b53343fe66e46989364c,2544,sunitinib,,drug,,,O75385,Serine/threonine-protein kinase ULK1,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
266b4fbb5c77c90f07d4cf3e42330189,2551,tacrine,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
36e277af77c150142a36462f3dec848e,2561,tamoxifen,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
0f9729c7bd66fdfbea784b208020bc30,2600,terfenadine,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
4c24ad4920736b92ca91d65c8ea9e51d,2637,thioridazine,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
38e5106bbd1a79a3da819f64764705ba,O60341,Lysine-specific histone demethylase 1A,,gene product,,,HGNC:29079,,,,,,CustomRO:TTD1,is product of,
df67810cc6a4e23bd8b61eaf96a76966,2715,tranylcypromine,,drug,,,O60341,Lysine-specific histone demethylase 1A,,gene product,,,CustomRO:TTD2,targets,
57fa760c957d6a2aea7b7da78edfe193,P29401,Transketolase,,gene product,,,HGNC:11834,,,,,,CustomRO:TTD1,is product of,
cd575fc1bfa0200dd1248e9e8f0897f9,2832,thiamine,,drug,,,P29401,Transketolase,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
3da65a7e60f96619e204a56079495bb1,2835,nicotinic acid,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
497a66769c2f30849663ab3c35867e2e,2855,zafirlukast,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
4b3425d2c32d824347ce6be08b318274,3032,bithionol,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
6f24eef981c815e648d524913c6336c9,Q05193,Dynamin-1,,gene product,,,HGNC:2972,,,,,,CustomRO:TTD1,is product of,
ef41f33a006bbbf06b3181f178050041,3082,cetrimonium,,drug,,,Q05193,Dynamin-1,,gene product,,,CustomRO:TTD2,targets,
38e5106bbd1a79a3da819f64764705ba,O60341,Lysine-specific histone demethylase 1A,,gene product,,,HGNC:29079,,,,,,CustomRO:TTD1,is product of,
6120cb245fb5f4bc3c8553cc15ddc623,3157,diosmin,,drug,,,O60341,Lysine-specific histone demethylase 1A,,gene product,,,CustomRO:TTD2,targets,
133d3dc2bd95af67b2f8d9ee6dfe2afc,P42866,Mu-type opioid receptor,,gene product,,,MGI:97441,,,,,,CustomRO:TTD1,is product of,
3210c4eea2e8fb31e6efb6fb9aba4890,3236,flusalan,,drug,,,P42866,Mu-type opioid receptor,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
377e2687691631e206b83a2656e10295,3514,quercetin,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
b67ce6caf00b4c82e8fa6483b79cdf03,P68400,Casein kinase II subunit alpha,,gene product,,,HGNC:2457,,,,,,CustomRO:TTD1,is product of,
59e83e2b33c14c4672a66b4443a7a457,3514,quercetin,,drug,,,P68400,Casein kinase II subunit alpha,,gene product,,,CustomRO:TTD2,targets,
38e5106bbd1a79a3da819f64764705ba,O60341,Lysine-specific histone demethylase 1A,,gene product,,,HGNC:29079,,,,,,CustomRO:TTD1,is product of,
a32671d5371368630483c068ab709e77,3514,quercetin,,drug,,,O60341,Lysine-specific histone demethylase 1A,,gene product,,,CustomRO:TTD2,targets,
f3c4a09062fd34fd6b1d05e4914d61ba,P05067,Amyloid beta A4 protein,,gene product,,,HGNC:620,,,,,,CustomRO:TTD1,is product of,
20062e2953987cc2d8b83029fe11aafb,3514,quercetin,,drug,,,P05067,Amyloid beta A4 protein,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
86d012df3d037cf45cf3573d8f714fdb,3533,ruboxistaurin,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
4803029aa40f4b669d1420a9d1684bc9,P05129,Protein kinase C gamma type,,gene product,,,HGNC:9402,,,,,,CustomRO:TTD1,is product of,
5b83cd5b5d18ccadc9a4006fc3ec8653,3533,ruboxistaurin,,drug,,,P05129,Protein kinase C gamma type,,gene product,,,CustomRO:TTD2,targets,
751cf0dd4ee0306c1e941402e1ca37df,P23443,Ribosomal protein S6 kinase beta-1,,gene product,,,HGNC:10436,,,,,,CustomRO:TTD1,is product of,
0ade91b8974967fb2ef3ab90aad9bc9b,3533,ruboxistaurin,,drug,,,P23443,Ribosomal protein S6 kinase beta-1,,gene product,,,CustomRO:TTD2,targets,
b67ce6caf00b4c82e8fa6483b79cdf03,P68400,Casein kinase II subunit alpha,,gene product,,,HGNC:2457,,,,,,CustomRO:TTD1,is product of,
5d7892ff40b9bc5f5123ddf37404182d,3533,ruboxistaurin,,drug,,,P68400,Casein kinase II subunit alpha,,gene product,,,CustomRO:TTD2,targets,
38e5106bbd1a79a3da819f64764705ba,O60341,Lysine-specific histone demethylase 1A,,gene product,,,HGNC:29079,,,,,,CustomRO:TTD1,is product of,
5479584ed3a94825e01f1aa418a5c47c,3535,rutoside,,drug,,,O60341,Lysine-specific histone demethylase 1A,,gene product,,,CustomRO:TTD2,targets,
38e5106bbd1a79a3da819f64764705ba,O60341,Lysine-specific histone demethylase 1A,,gene product,,,HGNC:29079,,,,,,CustomRO:TTD1,is product of,
1b85bf24b8dea0238933a31380e87cfe,4055,baicalin,,drug,,,O60341,Lysine-specific histone demethylase 1A,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
47aa8dc868522dba4003f64350d143fa,4063,tirilazad,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
081b987bf294c6d3f8e2805e87be4afa,Q9UBE8,Serine/threonine-protein kinase NLK,,gene product,,,HGNC:29858,,,,,,CustomRO:TTD1,is product of,
a28aaec7025585eab983308db6367b3b,4118,pazopanib,,drug,,,Q9UBE8,Serine/threonine-protein kinase NLK,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
c397f097183eb65bc6239304e18bd090,4138,gentian violet,,drug,,,P00533,Epidermal growth factor receptor,,gene product,,,CustomRO:TTD2,targets,
e87d084cb827c7960c4c1f1ba02152a1,P10619,Lysosomal protective protein,,gene product,,,HGNC:9251,,,,,,CustomRO:TTD1,is product of,
db91bd51f2b55d843a032be638b0e0c8,4172,boceprevir,,drug,,,P10619,Lysosomal protective protein,,gene product,,,CustomRO:TTD2,targets,
e87d084cb827c7960c4c1f1ba02152a1,P10619,Lysosomal protective protein,,gene product,,,HGNC:9251,,,,,,CustomRO:TTD1,is product of,
aafa8ad58f9b1f811c672fdcc143e352,4173,telaprevir,,drug,,,P10619,Lysosomal protective protein,,gene product,,,CustomRO:TTD2,targets,
1a5f3d746495674e993b1d0a820777d9,P00533,Epidermal growth factor receptor,,gene product,,,HGNC:3236,,,,,,CustomRO:TTD1,is product of,
