Edge Type,Count,Percentage
in orthology relationship with,162626,70.69%
causes condition,26958,11.72%
interacts with,25189,10.95%
enables,8046,3.50%
found in,4136,1.80%
contributes to condition,1363,0.59%
colocalizes with,636,0.28%
has role in modeling,290,0.13%
associated with phenotype,184,0.08%
is of,173,0.08%
targets,158,0.07%
expresses gene,104,0.05%
has affected feature,55,0.02%
is variant in,49,0.02%
is product of,26,0.01%
is substance that treats,17,0.01%
has genotype,13,0.01%
is allele of,13,0.01%
involved in,9,0.00%
